rank,names,prices
1,ROG Phone 3,799.0
2,OPPO Find X2 Pro,899.08
3,OnePlus 8 Pro,1118.99
4,iQOO Neo3,None
5,Samsung Galaxy Note 20 Ultra 5G,1159.0
6,Samsung Galaxy Z Fold2 5G,None
7,Redmi K30 Pro,None
8,Mi 10 Pro,929.05
9,OnePlus 8,721.37
10,Poco F2 Pro,449.01
11,Mi 10,314.98
12,Samsung Galaxy S20+ 5G,799.98
13,Samsung Galaxy S20 Ultra 5G,999.0
14,Samsung Galaxy Note 20 Ultra LTE,None
15,Samsung Galaxy S20+,999.0
16,iQOO Z1,None
17,Samsung Galaxy S20 5G,799.98
18,realme X3 Super Zoom,None
19,realme X2 Pro,448.99
20,HUAWEI P40 Pro 5G,748.61
21,ROG Phone 2,None
22,Redmi K30 Ultra,None
23,HUAWEI Mate 30 Pro,678.98
24,OnePlus 7 Pro,699.0
25,OnePlus 7,699.0
26,Samsung Galaxy S10 Lite,459.94
27,Samsung Galaxy Note10+,None
28,Mi 9,None
29,Samsung Galaxy Note10,None
30,Redmi K20 Pro,None
31,Mi 9T Pro,399.0
32,LG V50 ThinQ 5G,None
33,Sharp Aquos zero2,None
34,Samsung Galaxy S10+,555.0
35,HONOR 20 Pro,580.88
36,Samsung Galaxy S10e,598.99
37,Samsung Galaxy S10,555.0
38,HONOR 30,None
39,HUAWEI P30 Pro,644.82
40,HUAWEI P30,None
41,HUAWEI nova 5T,279.0
42,HONOR 20,192.49
43,HUAWEI nova 7,None
44,HUAWEI Mate 20 Pro,None
45,POCOPHONE F1,302.43
46,Mi 8,None
47,Mi MIX 2S,283.58
48,Samsung Galaxy Note10 Lite,None
49,Mi 10 Lite 5G,314.98
50,Samsung Galaxy S9+,None
51,Samsung Galaxy Note 9,841.33
52,Redmi K30 5G,None
53,HUAWEI nova 7i,None
54,realme 7,299.0
55,LG G7 ThinQ,None
56,Redmi Note 8 Pro,199.0
57,realme 6,199.0
58,UMIDIGI S5 Pro,None
59,Samsung Galaxy S9,None
60,realme 6 Pro,235.01
61,Poco X3 NFC,269.0
62,Redmi Note 9S,None
63,Redmi Note 9 Pro,254.52
64,OPPO Reno4 4G,None
65,Mi Note 10 Lite,279.0
66,Mi Note 10,279.0
67,LG V40 ThinQ,677.32
68,HUAWEI P20 Pro,538.99
69,Mi 9T,368.99
70,Samsung Galaxy A71,379.0
71,Samsung Galaxy Note 8,225.99
72,Mi 9 SE,349.0
73,realme XT,None
74,realme Q,None
75,Samsung Galaxy S8,259.0
76,HONOR 10,181.53
77,HONOR Play,653.0
78,Samsung Galaxy S8+,259.0
79,Samsung Galaxy A70,415.0
80,realme 3 Pro,None
81,Mi 9 Lite,305.0
82,Redmi Note 7 Pro,None
83,Redmi 10X 4G,None
84,Redmi 9,158.0
85,Samsung Galaxy A51,275.0
86,Samsung Galaxy M31,279.0
87,Samsung Galaxy S7,None
88,Samsung Galaxy S7 Edge,None
89,vivo S1 Pro,None
90,Mi 8 Lite,219.0
91,Redmi Note 7,None
92,Samsung Galaxy M21,229.0
93,Mi A3,None
94,OPPO A5 2020,199.0
95,Redmi Note 8,199.0
96,Redmi Note 8T,189.0
97,HONOR 8X,199.0
98,HONOR 9X,209.0
99,Mi A2,260.0
100,Redmi Note 5 Pro,179.0
101,Samsung Galaxy A50,329.0
102,Redmi Note 5 AI Dual Cam,None
103,Redmi Note 6 Pro,199.0
104,Redmi 8,144.99
105,Redmi Note 4,177.32
106,Redmi 5 Plus,199.0
